date,equity,open_positions,peak
2026-05-18 00:00:00+00:00,100.0,1,100.0
2026-05-19 00:00:00+00:00,100.0,1,100.0
2026-05-20 00:00:00+00:00,100.0,1,100.0
2026-05-21 00:00:00+00:00,104.92,1,104.92
2026-05-22 00:00:00+00:00,132.24,1,132.24
2026-05-26 00:00:00+00:00,140.95,1,140.95
2026-05-27 00:00:00+00:00,140.95,1,140.95
2026-05-28 00:00:00+00:00,146.98,1,146.98
2026-05-29 00:00:00+00:00,146.98,1,146.98
2026-06-01 00:00:00+00:00,167.12,1,167.12
2026-06-02 00:00:00+00:00,179.01,1,179.01
2026-06-03 00:00:00+00:00,179.01,1,179.01
2026-06-04 00:00:00+00:00,179.01,1,179.01
2026-06-05 00:00:00+00:00,164.8,1,179.01
2026-06-08 00:00:00+00:00,164.8,1,179.01
2026-06-09 00:00:00+00:00,152.63,1,179.01
2026-06-10 00:00:00+00:00,152.63,1,179.01
2026-06-11 00:00:00+00:00,160.21,1,179.01
2026-06-12 00:00:00+00:00,160.21,2,179.01
2026-06-15 00:00:00+00:00,160.21,2,179.01
2026-06-16 00:00:00+00:00,160.21,2,179.01
2026-06-17 00:00:00+00:00,129.52,0,179.01
2026-06-18 00:00:00+00:00,129.52,0,179.01
2026-06-22 00:00:00+00:00,129.52,0,179.01
2026-06-23 00:00:00+00:00,129.52,0,179.01
2026-06-24 00:00:00+00:00,129.52,0,179.01
2026-06-25 00:00:00+00:00,129.52,0,179.01
2026-06-26 00:00:00+00:00,129.52,0,179.01
2026-06-29 00:00:00+00:00,129.52,0,179.01
2026-06-30 00:00:00+00:00,129.52,0,179.01
2026-07-01 00:00:00+00:00,129.52,0,179.01
2026-07-02 00:00:00+00:00,129.52,0,179.01
2026-07-06 00:00:00+00:00,129.52,0,179.01
2026-07-07 00:00:00+00:00,129.52,0,179.01
2026-07-08 00:00:00+00:00,129.52,1,179.01
2026-07-09 00:00:00+00:00,148.18,1,179.01
2026-07-10 00:00:00+00:00,148.18,1,179.01
2026-07-13 00:00:00+00:00,136.39,1,179.01
2026-07-14 00:00:00+00:00,144.01,1,179.01
2026-07-15 00:00:00+00:00,133.09,0,179.01
2026-07-16 00:00:00+00:00,133.09,1,179.01
2026-07-17 00:00:00+00:00,133.09,1,179.01
2026-07-20 00:00:00+00:00,133.09,1,179.01
2026-07-21 00:00:00+00:00,133.09,1,179.01
2026-07-22 00:00:00+00:00,122.76,0,179.01
2026-07-23 00:00:00+00:00,122.76,0,179.01
2026-07-24 00:00:00+00:00,122.76,0,179.01
2026-07-27 00:00:00+00:00,122.76,1,179.01
2026-07-28 00:00:00+00:00,122.76,1,179.01
2026-07-29 00:00:00+00:00,112.65,1,179.01
2026-07-30 00:00:00+00:00,125.94,1,179.01
2026-07-31 00:00:00+00:00,125.94,1,179.01
2026-08-03 00:00:00+00:00,125.94,1,179.01
2026-08-04 00:00:00+00:00,131.44,0,179.01
2026-08-05 00:00:00+00:00,131.44,0,179.01
2026-08-06 00:00:00+00:00,131.44,0,179.01
2026-08-07 00:00:00+00:00,131.44,0,179.01
2026-08-10 00:00:00+00:00,131.44,0,179.01
2026-08-11 00:00:00+00:00,131.44,1,179.01
2026-08-12 00:00:00+00:00,131.44,1,179.01
