scenario,name,motor,window_days,tickers,risk_pct,max_pos,dte,delta,tp,sl,max_rv,anti_earnings,equity_final,retorno_pct,trades,wins,win_rate,pnl_total,max_drawdown_pct,max_equity,segundos
S1,Swing en universo reto,swing,90,"SOFI,PLTR,F,TSLA,AMD,NOK,BB,TQQQ",0.2,2,21,0.3/0.15,1.5,0.15,,False,100.0,0.0,0,0,0.0,0.0,0.0,100.0,1.0
S2,SMC diario en universo reto,smc_daily,90,"SOFI,PLTR,F,TSLA,AMD,NOK,BB,TQQQ",0.2,2,21,0.3/0.15,1.5,0.15,,False,98.85,-1.2,16,9,56.0,-1.15,-51.2,178.13,3.0
S3,RSI bounce en universo reto,rsi_bounce,90,"SOFI,PLTR,F,TSLA,AMD,NOK,BB,TQQQ",0.2,2,21,0.3/0.15,1.5,0.15,,False,100.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0
S4,Swing riesgo 30%,swing,90,"SOFI,PLTR,F,TSLA,AMD,NOK,BB,TQQQ",0.3,2,21,0.3/0.15,1.5,0.15,,False,100.0,0.0,0,0,0.0,0.0,0.0,100.0,1.0
S5,Swing gestión apretada,swing,90,"SOFI,PLTR,F,TSLA,AMD,NOK,BB,TQQQ",0.2,2,14,0.3/0.15,1.3,0.4,,False,100.0,0.0,0,0,0.0,0.0,0.0,100.0,1.0
S6,Swing spread OTM 0.25/0.10,swing,90,"SOFI,PLTR,F,TSLA,AMD,NOK,BB,TQQQ",0.2,2,21,0.25/0.1,1.5,0.15,,False,100.0,0.0,0,0,0.0,0.0,0.0,100.0,1.0
S7,Swing + RV<60%,swing,90,"SOFI,PLTR,F,TSLA,AMD,NOK,BB,TQQQ",0.2,2,21,0.3/0.15,1.5,0.15,0.6,False,100.0,0.0,0,0,0.0,0.0,0.0,100.0,1.0
S8,Swing anti-earnings,swing,90,"SOFI,PLTR,F,TSLA,AMD,NOK,BB,TQQQ",0.2,2,21,0.3/0.15,1.5,0.15,,True,100.0,0.0,0,0,0.0,0.0,0.0,100.0,1.0
S9,Swing en ETFs,swing,90,"SPY,QQQ,IWM,TQQQ,SQQQ",0.2,2,21,0.3/0.15,1.5,0.15,,False,100.0,0.0,0,0,0.0,0.0,0.0,100.0,1.0
S10,Swing en tech amplio,swing,90,"NVDA,TSLA,AMD,PLTR,AAPL,AMZN,META,MSFT,GOOGL",0.2,2,21,0.3/0.15,1.5,0.15,,False,100.0,0.0,0,0,0.0,0.0,0.0,100.0,1.0
S11,Swing universo amplio,swing,90,"SPY,QQQ,IWM,TQQQ,SQQQ,NVDA,TSLA,AMD,PLTR,AAPL",0.2,2,21,0.3/0.15,1.5,0.15,,False,100.0,0.0,0,0,0.0,0.0,0.0,100.0,1.0
S12,Swing RV<60% + anti-earnings + TP1.4,swing,90,"SOFI,PLTR,F,TSLA,AMD,NOK,BB,TQQQ",0.25,2,21,0.3/0.15,1.4,0.4,0.6,True,100.0,0.0,0,0,0.0,0.0,0.0,100.0,1.0
S13,RSI bounce anti-earnings + RV<60%,rsi_bounce,90,"SOFI,PLTR,F,TSLA,AMD,NOK,BB,TQQQ",0.25,2,14,0.3/0.15,1.3,0.4,0.6,True,100.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0
S14,Swing tickers baratos F/BB/NOK,swing,90,"F,BB,NOK",0.4,2,21,0.3/0.15,1.4,0.4,,False,113.12,13.1,1,1,100.0,13.12,0.0,113.12,1.0
S15,Swing tickers baratos SOFI+,swing,90,"F,BB,NOK,SOFI",0.4,2,21,0.3/0.15,1.4,0.4,,False,113.12,13.1,1,1,100.0,13.12,0.0,113.12,1.0
S16,Swing OTM 0.20/0.10 riesgo 50%,swing,90,"SOFI,PLTR,F,TSLA,AMD,NOK,BB,TQQQ",0.5,1,21,0.2/0.1,1.4,0.4,,False,201.66,101.7,3,3,100.0,101.66,0.0,201.66,1.0
S17,Swing DTE corto 10d,swing,90,"F,BB,NOK,SOFI",0.4,2,10,0.3/0.15,1.3,0.4,,False,108.22,8.2,1,1,100.0,8.22,0.0,108.22,1.0
S18,SMC tickers baratos,smc_daily,90,"F,BB,NOK,SOFI",0.4,2,21,0.3/0.15,1.4,0.4,,False,55.61,-44.4,23,11,48.0,-44.39,-73.2,218.34,3.0
